table_type,level_code,id,subtopic_id,question_type,difficulty,dok,prompt,answer,source,source_url,source_activity_id,resource_title,resource_url
exemplar,EM9_INT,em9int_ex_028,em9int_m3_s4,performance_task,hard,3,Rigid Motion,,performance_task,https://drive.google.com/file/d/1YOGaR5CgYEc9Ej9JU3AiwE16LMyqYRTG/view?usp=sharing,em9int_m3_d9_performance_task_10,,
exemplar,EM9_INT,em9int_ex_029,em9int_m3_s4,performance_task,hard,3,Transforming Triangles,,performance_task,https://drive.google.com/file/d/1SToWHTa1RoojYDykqBubggF6_1KVQY7Q/view?usp=sharing,em9int_m3_d9_performance_task_11,,
exemplar,EM9_INT,em9int_ex_030,em9int_m3_s5,performance_task,hard,3,Reflect & Rotate (optional),,performance_task,https://drive.google.com/file/d/1VrDYXloM_ryQXsKZ2Lv9Rfhzq52b0XLM/view?usp=sharing,em9int_m3_d10_performance_task_12,,
exemplar,EM9_INT,em9int_ex_031,em9int_m4_s2,fal_pre_assessment,medium,2,Pre-Assessment Core FAL — Classifying Solutions to Systems of Equations,,fal_pre_assessment,https://drive.google.com/file/d/1biD8br1FR5ril14Ow7xtLaMsJqnexyWc/view?usp=sharing,em9int_m4_d3_fal_pre_assessment_01,,
exemplar,EM9_INT,em9int_ex_032,em9int_m4_s3,performance_task,hard,3,Words & Equations,,performance_task,https://drive.google.com/file/d/1qe-FZMBPkcdq6NphgNKeOdFAxGoghG8d/view?usp=sharing,em9int_m4_d5_performance_task_04,,
exemplar,EM9_INT,em9int_ex_033,em9int_m4_s4,performance_task,hard,3,The Trip,,performance_task,https://drive.google.com/file/d/16iiJfUqzeWLRMYFp44H9CUKd_U8EhUPC/view?usp=sharing,em9int_m4_d9_performance_task_09,,
exemplar,EM9_INT,em9int_ex_034,em9int_m4_s4,performance_task,hard,3,Buying Chips and Candy,,performance_task,https://drive.google.com/file/d/1_QkeducYJDfQ1nDSh8SgDF9Sa0LqKvUX/view?usp=sharing,em9int_m4_d10_performance_task_10,,
resource,EM9_INT,em9int_r_special_cases,,,,,,,,,,Special Case Lessons,https://docs.google.com/document/d/1EVDUS1tScUgHEmTPCMq6zHJnHlOa4R_5sNM8n2Cjw4o/copy?usp=sharing
resource,EM9_INT,em9int_r_fal1a_readme,,,,,,,,,,FAL Module 1 Read Me - Interpreting Equations (FAL 1A),https://docs.google.com/document/d/1YQEB2SxVseeYo7wGjqw-MoE_3gwMkrJykmJgNJ0xGAE/copy?usp=sharing
resource,EM9_INT,em9int_r_fal1b_readme,,,,,,,,,,FAL Module 1 Read Me - Interpreting Algebraic Expressions (FAL 1B),https://docs.google.com/document/d/1hctPpQHLfOgO1x2ofV_VXXzj8e7Wq_jjggvtwq5tFEo/copy?usp=sharing
resource,EM9_INT,em9int_r_fal2_readme,,,,,,,,,,FAL Module 2 Read Me,https://docs.google.com/document/d/1o3_ZbGJDspF4tPD1n8R5dt_OAD4uyLIucFs4PnbGun8/copy?usp=sharing
resource,EM9_INT,em9int_r_qqt_cards,,,,,,,,,,Quiz-Quiz-Trade Cards/Instructions,https://docs.google.com/document/d/1i-8nFA2V4m-iD6Rm3F_IWUwpCxZK_bpCnZOIAHOoe7Q/copy?usp=sharing
resource,EM9_INT,em9int_r_scav_hunt,,,,,,,,,,Scavenger Hunts,https://docs.google.com/document/d/1-LFLlNsXRTIZWnLsR9qM2tEvUEohqdt_D2S8JmKSdoA/copy?usp=sharing
resource,EM9_INT,em9int_r_math_talks,,,,,,,,,,Math Talk Resources Folder,https://drive.google.com/drive/folders/1cUkAwHc3WwBwjaDUixc4JXbVm7mDQX7s?usp=sharing
resource,EM9_INT,em9int_r_growth_mindset,,,,,,,,,,Growth Mindset/SEL/College Readiness,https://docs.google.com/spreadsheets/d/107zW8Q9QmIMSHN4Q-pS54QFmOPAb2D-g3ZFecsvqP10/copy?usp=sharing
resource,EM9_INT,em9int_r_fal3_readme,,,,,,,,,,FAL Module 3 Read Me - Transforming 2D Figures,https://docs.google.com/document/d/16FazudF7rEfZRo5N0FUl2urKCm6bK7riFfI5jn23i-M/copy?usp=sharing
resource,EM9_INT,em9int_r_fal4a_readme,,,,,,,,,,FAL Module 4 Read Me - Solving Linear Equations,https://docs.google.com/document/d/1oGPg3G2O94DrJJ8Layhl7k5f_wWXcTwRnX1W47QIIsY/copy?usp=sharing
resource,EM9_INT,em9int_r_fal4b_readme,,,,,,,,,,FAL Module 4 Read Me - Classifying Solutions to Systems of Equations,https://docs.google.com/document/d/1wjxiiT0g59hwFPVLivVYkViXYN_ptxB8pRMv1af7BUc/copy?usp=sharing
resource,EM9_INT,em9int_r_faculty_portal,,,,,,,,,,Grade 9 Post-Assessment (Faculty Portal),http://svef.force.com/faculty
